图片,标题,简介,作者,收藏数量,评论数量,类型
http://pic.ecook.cn/web/d1c88c4eeea69d23eab8f96a1737bf0d.jpg!s4,家常鸡块,美味如此简单～配上米饭，浇上汤汁，能吃两碗?,唐小棠,25,14,粤菜
http://pic.ecook.cn/web/258964954.jpg!s4,浅湘食光&蜜汁叉烧,喜欢吃广东菜?叉烧是典范,浅湘,463,24,粤菜
http://pic.ecook.cn/web/264258451.jpg!s4,蜜汁鸡腿,甜甜的肉香，啃完鸡腿?，连汤汁也要拌着饭吃，即下饭又好吃?，可以晚上做好，第二天早上装入便当?，微波炉一热，就可以享受美味便当了。,茗茗爱美食,4026,51,粤菜
http://pic.ecook.cn/web/262307890.jpg!s4,芒果黑米椰奶西米露,芒果黑米椰奶西米露清香扑鼻，酸酸甜甜，清爽香甜！奶香浓郁，细腻顺滑，清热解毒的美味甜点，也是满记甜品里经典甜点之一。,LindaGL,625,34,粤菜
http://pic.ecook.cn/web/eb6677beb67c7b99cf8a83cd33de91aa.jpg!s4,茭白茄子焖肉,茭白茄子焖肉，荤素搭配，营养均衡，很美味?,HC半糖,3,7,粤菜
http://pic.ecook.cn/web/4714f2110989feb70f24911489871b80.jpg!s4,素炒双丁,今天来一道不一样的素炒双丁?,HC半糖,14,25,粤菜
http://pic.ecook.cn/web/264755967.jpg!s4,清蒸多宝鱼?,跟着我做一道营养价值丰富又简单上手的清蒸多宝鱼吧?,HC半糖,44,8,粤菜
http://pic.ecook.cn/web/265627925.jpg!s4,冬瓜鲍贝猪骨汤【清补兼施】,"今天父亲节，夏日炎炎，清淡为佳，就为爸爸煲碗清补兼施的冬瓜鲍贝猪骨汤吧！

冬瓜—生津止渴、解毒消暑、利水。

鲜鲍鱼—滋阴清热，益精明目。

猪脊骨—益肾滋阴、止渴。

干贝—滋阴补肾、调中消食。

薏仁、茨实、白扁豆—健脾渗湿、清热化湿、和中消暑。

竹荪—补气养阴、增强免疫、降胆固醇。

鸡脚—温中益气、益精填髓、强筋骨。

陈皮—理气健脾，燥湿化痰，增进食欲。

  合而为汤，味道鲜美，汤性平和，既能清热解暑、利湿解毒、生津止渴、消食化痰，又能健脾调中、滋养肝肾、补气养阴、益精明目，适宜于炎夏酷暑时节一般人群服食以御暑湿热毒，尤宜于脾肾虚弱者。",爱吃饺子的兔兔,31,8,粤菜
http://pic.ecook.cn/web/264593920.jpg!s4,三黄鸡炖土豆,三黄鸡肉质鲜甜，与土豆一起焖煮，是一道好吃到舔干盘子的下饭菜??,HC半糖,114,11,粤菜
http://pic.ecook.cn/web/263510539.jpg!s4,经典潮汕菜｜咸菜猪肚汤,"不起眼的咸菜，和猪肚是最佳搭档，两者融合程度，似鸡蛋之于西红柿。传统的潮汕咸菜猪肚汤并不难做，最难的是清！洗！猪！肚！猪肚是我迄今为止碰到的最难清洗的食材。
本篇从食材挑选、清洗到烹饪，成功还原了妈妈做的咸菜猪肚汤，不管你是不是潮汕人，照着走一圈准没错。",金凤梨,94,16,粤菜
http://pic.ecook.cn/web/264449515.jpg!s4,牡蛎炒蛋,"发源于福建厦漳泉地带，是闽南，台湾，潮汕等地经典的汉族小吃。起源是沿海地区人民在无法饱食下所发明的替代粮食，是一种贫苦生活的象征。牡蛎蛋据传就是这样的一种在贫穷社会之下所发明的创意料理。 
牡蛎味道有点腥，如何去腥并保持鲜味，牡蛎的新鲜程度至关重要。通常，为了去除腥味，有些厨师会在牡蛎里拌入鸡蛋。在盖掉海蛎腥味的同时，牡蛎也丧失了灵魂。囡姐今天安利给大家的这道牡蛎蛋的做法是把蛋液围在牡蛎的周围，保持了牡蛎的原味，吃起来香鲜细嫩、美味可口。",沙小囡,38,12,粤菜
http://pic.ecook.cn/web/264226715.jpg!s4,清蒸龙利鱼,龙利鱼无骨无刺，味道鲜美，非常适合老人小孩食用。,薯条沾腐乳,277,26,粤菜
http://pic.ecook.cn/web/240242823.jpg!s4,咕咾肉,咕咾肉乃广东菜，酸甜可口，肉肉包裹糖醋汁，很是下饭呢?,吾心琉璃?,285,40,粤菜
http://pic.ecook.cn/web/256748236.jpg!s4,宝宝辅食～田园排骨粥,"适合月龄15月+
田园粥是我经常做的一款辅食，简单又有营养。从宝宝8个月开始就经常煲各式各样的田园粥，宝宝也很喜欢，所谓的田园就是指当季蔬菜。如果单单只用蔬菜煲粥，粥就没有那么香，所以我都是用排骨或者骨汤来煲粥，这样不仅增加了粥的香度，更是增加了粥的营养。排骨一定要选择精排，精排肉质更加细嫩，宝宝吃起来也能大快朵颐。
",凡妈小厨,3319,1235,粤菜
http://pic.ecook.cn/web/264071776.jpg!s4,酱焖黄花鱼,黄花鱼含蛋白质较高，并含脂肪、灰分、钙、磷、铁、维生素B1、维生素B2、烟酸、碘等，其中磷、碘含量尤高。,妙江南,122,11,粤菜
http://pic.ecook.cn/web/c3621996109e20c26269691f5e071733.jpg!s4,西兰花炒虾仁,西兰花炒虾仁会起到减肥去脂和健脾养胃的作用，味道鲜美可口，是女孩子们的理想美味。,林乡,35,10,粤菜
http://pic.ecook.cn/web/264365989.jpg!s4,杞子圆肉炖乳鸽,"?乳鸽肉不但营养丰富，而且还有补血、活血、养颜的保健功效，是去风解毒，去斑养颜之常用食材。
?枸杞子有护眼明目、补血、降三高、抗衰老的功效。
?桂圆肉有安心宁神、补血养气、益智补脑的功效。

?汤水甜润可口！经常饮用此汤能壮体补肾、健脑补神、提高记忆力、养颜美容、延年益寿等作用。",爱吃饺子的兔兔,15,4,粤菜
http://pic.ecook.cn/web/264783979.jpg!s4,蛤蜊蒸蛋,"珍珠聚宝盆也称蛤蜊蒸蛋，蛤蜊是年菜中必有的材料。蛤蜊被称为“天下第一鲜”,蛤蜊炖蛋是粤菜特色之一,味道鲜美,营养丰富,高蛋白,嫩嫩滑滑的,汁渗入蛋中。味道鲜美,营养丰富，高蛋白，嫩嫩滑滑的，汁渗入蛋中。味道鲜美，营养丰富，老少皆宜。",我家的小小厨,20,6,粤菜
http://pic.ecook.cn/web/264357891.jpg!s4,盐焗手撕鸡,简单快手菜，成功率极高,只只妹儿,62,9,粤菜
http://pic.ecook.cn/web/263941693.jpg!s4,生滚牛肉粥,粤式粥，家家有本不同的菜谱，这是我自己的做法。,浮生知星辰,33,6,粤菜
http://pic.ecook.cn/web/262590325.jpg!s4,菠萝咕噜肉——水果入菜，一不小心却成了名菜,    菠萝古老肉也可以写作菠萝咕噜肉，或者菠萝咕噜肉，是一道传统粤菜。这道菜色泽鲜艳，有红、黄、绿三种颜色，看起来很诱人。盘中的咕噜肉像一个花骨朵儿含苞欲放，咬上一口，香脆酸甜的同时也可以尝出肉的鲜美。,便当先生,885,28,粤菜
http://pic.ecook.cn/web/e2b577b0aac913b4dd46c8728a425565.jpg!s4,香烤巴浪鱼,巴浪鱼产量大价格便宜，可以补充蛋白质，补脑益智、祛风除湿、补肾补血。,薯条沾腐乳,1,6,粤菜
http://pic.ecook.cn/web/265115968.jpg!s4,生啫蛏子皇,砂锅烧热  加少许花生油下蒜子干葱头生姜爆香放新鲜的，蛏子皇  利用蒜子的蒸汽将他焗熟蒜香味很浓  3分钟，原汁原味蒜香味浓郁,用户8829,16,3,粤菜
http://pic.ecook.cn/web/263444255.jpg!s4,啤酒五花肉,这样做的五花肉软烂可口，非常的美味,偶GV遇,219,10,粤菜
http://pic.ecook.cn/web/5ac759f8ffdb994ed52cec4177b0257d.jpg!s4,莴苣炒牛肉,莴苣搭配牛肉一起炒，鲜嫩美味,唐小棠,19,6,粤菜
http://pic.ecook.cn/web/264336688.jpg!s4,蒜蓉蒸大虾,蒜蓉蒸虾不加粉丝是没有灵魂的，刚好买虾的时候也买了花甲，一起蒸味道更鲜哦，如果没有花甲也可以不放，,果冻,131,11,粤菜
http://pic.ecook.cn/web/264700628.jpg!s4,腐竹炒木耳,"
腐竹炒木耳是一道简单的家常美食，制作原料主要有腐竹、木耳等，营养丰富，老少皆宜。",我家的小小厨,14,4,粤菜
http://pic.ecook.cn/web/265648800.jpg!s4,红烧鸭块,广式红烧，味浓而又爽口，添加当季嫩姜，鸭块去骨，啖啖肉，姜和鸭肉互相配合，增香去腥，味道更完美，美味可口。,爱吃饺子的兔兔,16,6,粤菜
http://pic.ecook.cn/web/daa18cc101c577ae0d153f330fd8ba33.jpg!s4,滑蛋牛肉,滑蛋牛肉是一道广东的地方特色名菜，属于粤菜菜系中很有特色的菜式之一，滑蛋牛肉以牛肉，鸡蛋为主要材料。属广东家常菜，成菜色泽浅黄，肉质鲜滑，蛋香浓郁。,归家小厨,30,10,粤菜
http://pic.ecook.cn/web/263755973.jpg!s4,鸡蛋腐竹糖水,鸡蛋腐竹糖水，大概是广东人都知道的一款糖水啦！煮起来很简单，是夏日悠闲的午后不二的选择哦！,Cc姑娘,16,1,粤菜
http://pic.ecook.cn/web/263852578.jpg!s4,腊味煲仔饭,"腊味煲仔饭是广东地区汉族传统名点，广州的街头小巷里，随处都有卖煲仔饭的小铺，香味也会在小巷中飘香。煲仔饭做法既简单又便捷，虽然分量不大，但吃起来既能有肉料，米饭中还带了肉香，那种由煲仔带出的特有饭味，令人食欲大增。
没有好的食材，是成就不了一碗让人念念不忘的煲仔饭的。囡姐今天做的这锅煲仔饭选用90%的泰国香米，加上10%的糯米精心调配，混合不同的米，才能做到米饭香浓。
米饭虽好，煲仔饭上的食材也不能马虎，米饭很大程度上决定了口感，而腊味就左右了煲仔饭的味道。
喜欢吃煲仔饭的朋友们关注囡姐，收藏一下菜谱，就算厨房小白也能做出煲仔饭中的爱马仕哦！",沙小囡,288,24,粤菜
http://pic.ecook.cn/web/264331283.jpg!s4,虾仁跑蛋,"用最简单的食材，做出简单的美味，
往往最考验食材的新鲜和烹饪者的做菜技巧。
就如用鸡蛋和虾仁两者结合做出来的这道嫩鲜滑爽的“虾仁跑蛋”！颗颗饱满圆润水灵的虾仁邂逅了甜香可口冒着热气儿的滑蛋，整道菜都鲜嫩无比。现在，不用等到去茶餐厅，自己在家也可以做出这样一道Q弹口感的经典粤菜啦！",沙小囡,202,12,粤菜
http://pic.ecook.cn/web/263673286.jpg!s4,咸蛋黄鸡翅,"鸡翅最好吃的做法，可乐鸡翅不是最赞的，咸蛋黄鸡翅那个是真香！
囡姐今天分享给大家的这个咸蛋黄鸡翅，绝对是一道硬核菜啦！金灿灿的色泽，看着就让吃货觉得非常有食欲。浓郁的咸蛋黄裹着腌过的鸡翅，炸过之后金黄又酥脆，十分嫩滑多汁，只要轻轻咬上一口，咸鲜香嫩的口感让人着迷，超级美味， 一盘根本不够吃啊！",沙小囡,362,24,粤菜
http://pic.ecook.cn/web/264203486.jpg!s4,芋头扣肉,第一次做，味道还不错，蒸的时间要长点，皮不够软,不不,136,13,粤菜
http://pic.ecook.cn/web/263990674.jpg!s4,农家玉米鸡汤,"玉米素有长寿食品的美称，含有丰富的蛋白质，玉米黄质、维生素E以及谷胱甘肽，有益肺宁心、健脾开胃、利水通淋的功效，常吃玉米有益身体健康。
玉米的功效与作用
1.减肥
食后可消除肥胖人的饥饿感，但食后含热量很低，也是减肥的代用品之一。
2.护眼
玉米含有黄体素、玉米黄质，尤其后者含量较丰富，因此玉米可说是抗眼睛老化的极佳食物。经常用眼的人，应多吃一些黄色的玉米，缓解黄斑变性、视力下降，叶黄素和玉米黄质凭借其强大的抗氧化作用，可以吸收进入眼球内的有害光线。
3.降血压降血脂
丰富的钙可起到降血压的功效，有促进细胞分裂、降低血清胆固醇、并防止其沉积于血管壁，因此，玉米对冠心病、动脉粥样硬化、高脂血症及高血压等都有一定功效。
4.增加记忆力、抗衰老
刺激大脑细胞，增强人的脑力、记忆力和人体新陈代谢力、调整神经系统功能。能起到使皮肤细嫩光滑，抑制、延缓皱纹产生作用，可以对抗眼睛老化。",爱吃饺子的兔兔,12,4,粤菜
http://pic.ecook.cn/web/262978947.jpg!s4,菜脯蛋卷,菜脯蛋卷是潮汕一个特色菜，菜脯就是萝卜干,小爱私厨,141,19,粤菜
http://pic.ecook.cn/web/264554125.jpg!s4,五味鹅（五杯鹅）,民间有很多五味鹅的配料表，还有顺德五味鹅、台山五味鹅等各种风格，我家小朋友最喜欢的是按照这个配料表制作的五味鹅，酸酸甜甜很开胃，如果喜欢你也试试吧。,薯条沾腐乳,172,19,粤菜
http://pic.ecook.cn/web/262538222.jpg!s4,白豪银针炖雪梨,用茶叶和雪梨一起炖  味道不错可以试试,用户8829,135,8,粤菜
http://pic.ecook.cn/web/263938075.jpg!s4,蒜苗炒腊肠,比起蒜苗更喜欢蒜苔，刚好没买到蒜苗，就用蒜苔代替吧，跟各种肉类搭配都好吃,不不,64,12,粤菜
http://pic.ecook.cn/web/259766592.jpg!s4,猪脚醋,猪脚醋是一道广东菜。味道又甜有酸很适合坐月子或者来月经的妇女补钙质。,汇丰下厨,334,13,粤菜
http://pic.ecook.cn/web/226375461.jpg!s4,紫苏豆豉蒸草鱼,这个菜在广东菜中属于较为浓味的菜式。紫苏是一种香料，含有独特的芳香，用来做佐料，芬芳满屋。紫苏还是一味很好的中药哦,我系靓师奶,227,31,粤菜
http://pic.ecook.cn/web/262498643.jpg!s4,板栗山药汤,休息日喜欢煲煲汤，板栗山药汤做法简单，健脾又美味的汤水。,焙着乐y,334,34,粤菜
http://pic.ecook.cn/web/239056891.jpg!s4,菜粒剁椒鸡蛋炒饭,用广东菜心的根去老皮切粒  米饭不可以蒸的太软，切记,用户8829,42,35,粤菜
http://pic.ecook.cn/web/262466592.jpg!s4,年年有余之糖醋鱼-年夜饭,过年吃鱼，寓意年年有余，这个做法因为多了一层面糊，鱼肉外面酥脆，里面嫩滑，加上酸甜口感，口感很好，,Maeveyan,512,11,粤菜
http://pic.ecook.cn/web/263431507.jpg!s4,清蒸鱼（时间煮雨）,简简单单一道清蒸鱼，花费十五分钟便可完成的美味。厨房小白通过这些简单的步骤就可以完成这看似大厨手艺般的时间煮雨（鱼）。nice,choi1,117,12,粤菜
http://pic.ecook.cn/web/259587878.jpg!s4,蒸猪肉,蒸猪肉是一道广东菜有很多做法。 这次做的是最基本。欢迎大家学会后，可以加腊肠或者咸鱼。,汇丰下厨,261,11,粤菜
http://pic.ecook.cn/web/264648921.jpg!s4,爆炒牛杂,牛杂，又称“牛杂碎”，是牛内脏的统称，是发源于老广州地区的一道传统美食。牛杂由于其蛋白质较高，营养丰富，且很容易被胃肠吸收，是有益于健康的绝佳食品。,我家的小小厨,82,9,粤菜
http://pic.ecook.cn/web/262527826.jpg!s4,香肠炒荷兰豆,荷兰豆在中国叫荷兰豆，荷兰豆在荷兰叫中国豆哈哈哈?,缇里蛋奶酥,185,8,粤菜
http://pic.ecook.cn/web/264168037.jpg!s4,炸葱油【简单易做、香的要命】,葱油是个家常的东西，却又香的要命。不论是葱油拌面、葱油鸡，还是拌菜里最后那勺热油，亦或是用来炒菜，都是添香添味的好东西。,爱吃饺子的兔兔,35,9,粤菜
http://pic.ecook.cn/web/263978696.jpg!s4,冬粉薯瘦肉汤【清润健脾】,"冬粉薯是一种比较少见的食材，广东一带的农家特产，又叫竹薯，竹芋。市场上不时也会见到有市郊来的阿姨挑着售买。

【功 效】清肺止咳、清热利尿。
【主 治】用治肺热咳嗽、膀胱湿热之小便涩痛。

冬粉薯最大特点就是含有丰富的淀粉，且淀粉主要集中在其根茎部。可以经研磨、水洗、晾晒制成粉，粤西肇庆一带称为“沙谷米粉”，可用开水冲调成透明煳状服食，对秋冬季节天气干燥引起的鼻衄、咳嗽有良好疗效。

冬粉薯可以做出很多家喻户晓的地道特色农家菜，冬粉薯焖鸭、焖鸡等。冬粉薯除了可以用来做菜之外，南方秋冬季 天气干燥的时候， 可以用冬粉薯煲粥煲汤， 既清润又能健脾。",爱吃饺子的兔兔,12,3,粤菜
http://pic.ecook.cn/web/263792697.jpg!s4,蛋黄焗南瓜,外咸里甜、外酥里糯。,~小海豚~,104,11,粤菜
http://pic.ecook.cn/web/260937941.jpg!s4,葱花煎蛋,也就是普通广东菜,厨友1528986984,17,6,粤菜
http://pic.ecook.cn/web/258815828.jpg!s4,翡翠白玉虾姑汤,"原汁原味
鲜美又养眼的
汤菜
营养美味哦",-自在随风-,473,39,粤菜
http://pic.ecook.cn/web/262990396.jpg!s4,椰汁炖排骨,夏日想要清淡又营养椰汁炖排骨既是首选,曾小侠私房菜,213,27,粤菜
http://pic.ecook.cn/web/262598910.jpg!s4,翡翠白玉鸭,白玉菇在口感表现上更为优越，菇体脆嫩鲜滑，清甜可口，是极具品味的美味佳肴！,吃货小佛爷,227,29,粤菜
http://pic.ecook.cn/web/262948603.jpg!s4,猪脚姜醋,在广东，脚除是坐月子的时候最长实用的补品，一般女性吃比较滋补，酸甜可口很开胃，现在外面二十五一碗，算蛮贵的，还不如自己在家做，一碗的价格就能熬一锅多实惠呀,丹霞44620,488,46,粤菜
http://pic.ecook.cn/web/262375753.jpg!s4,目鱼干炒甜豆,目鱼的口感真的很棒，冰箱里的目鱼放太久了，要抓紧吃掉。目鱼的咸遇上甜豆的鲜甜，一道不可错过的家常菜。,Maeveyan,62,16,粤菜
http://pic.ecook.cn/web/264665038.jpg!s4,清炒冬瓜片,夏天，冬瓜可以称为消暑的一道菜了，清炒冬瓜片简单易做，还可以拯救你的胃口，提高你的食欲。,HC半糖,68,12,粤菜
http://pic.ecook.cn/web/257092123.jpg!s4,五指毛桃老鸡汤～广式老火靓汤,"五指毛桃煲鸡汤是一道色香味俱全的传统经典的广府汤之一。五指毛桃是广东人最常用的煲汤材料，它本身气味芬芳，且有行气祛湿，舒筋活络，提高免疫力的功效，配以有补益作用的鸡肉，润肺清心的麦冬，补中益气的党参等一起入汤，具有淡淡的芳香味道，清润香甜口感让人不自觉地要多喝几碗！
",陀螺妈妈zjr,1119,581,粤菜
http://pic.ecook.cn/web/264898045.jpg!s4,金针菇炒蛋,"?炒蛋一道家常菜，鸡蛋和金针菇，添加了极其鲜味的虾籽，顿时变得不平常！
虾籽又叫虾蛋，是虾的卵加工而成。虾籽分海虾籽、河虾籽两类，凡产虾的地区都能加工虾籽。每年夏秋季节为虾籽加工时期。虾籽及其制品均可做调味品，味道鲜美。",爱吃饺子的兔兔,26,6,粤菜
http://pic.ecook.cn/web/262932062.jpg!s4,牡蛎鱿鱼粥,有强肝解毒、净化淤血、滋容养颜的作用，而且牡蛎中所含丰富的牛黄酸有明显的保肝利胆作用，是防治孕期肝内胆汁瘀积症的良药，含磷丰富，由于钙被体内吸收时需要磷的帮助，有利于钙的吸收。,小爱私厨,146,33,粤菜
http://pic.ecook.cn/web/264265737.jpg!s4,白灼大虾,最简单的吃法，能保持食物本味，也是最适合小朋友食用的方法。,薯条沾腐乳,56,11,粤菜
http://pic.ecook.cn/web/265195867.jpg!s4,清炒菜心,菜心怎么做都好吃，怎么吃都不腻，最喜欢就是宁夏菜心了，脆甜脆甜的。多吃绿色蔬菜对身体好处多多。,琳子厨记,81,11,粤菜
http://pic.ecook.cn/web/ed31ff2655c50be9017f0bbf86f23d3c.jpg!s4,牛肉炖芋头,芋头作为一种营养元素多的食物，成为大家常常吃的食物，芋头的营养元素很丰富，可以当食物来服用，也可以用作药膳主食,唐小棠,3,8,粤菜
http://pic.ecook.cn/web/262351025.jpg!s4,雪花肥牛,突然想吃肉多的一道菜，就想做了,乐活-小猪,112,8,粤菜
http://pic.ecook.cn/web/263053940.jpg!s4,黄椒炒西兰花,西兰花中含有二硫酚硫酮，能抑制体内黑色素的形成，减少黑色素，从而具有美白肌肤的功效。爱美的女性朋友不妨常食西兰花。,小爱私厨,267,17,粤菜
http://pic.ecook.cn/web/264428344.jpg!s4,虾仁鱼丸豆腐粉丝煲,"老人儿童都爱吃的营养粉丝煲
",? Katherine,13,1,粤菜
http://pic.ecook.cn/web/263023576.jpg!s4,素卤拼盘,一年四季，卤味在我们生活中都起到了非常重要的作用。很多人喜欢用卤味下酒，很多人喜欢用卤味拌饭；闲在家里吃点卤味打发打发时间，家里来客人了来点卤味招待客人。卤味的菜品总是那么的受欢迎，喜欢吃卤味的人也是非常多的。那么怎么把卤味做的好吃呢？有没有做一道菜里可以吃到多种卤味的呢？答案是肯定的。今天囡姐就和大家分享一道【素卤拼盘】，将各种美味营养的食物一起卤制，再拼制出来。不仅食物非常丰富，营养也更加的齐全，虽然是素的，味道却是杠杠滴呢！,沙小囡,43,16,粤菜
http://pic.ecook.cn/web/3ac76698cf5863bb964fdb760b5ad26d.jpg!s4,腐竹炒虾仁,虾仁富含蛋白质，维生素A，钙元素，铁元素，镁元素，磷元素等矿物质，能为人体提供丰富的营养物质，增强人体的体质和免疫力，有利于人体的健康。且虾仁肉质松软容易被人体消化，是病后或者体质虚弱理想的食品。虾仁可以补充人体的镁，调节心脏的活动，保护心血管，减少血液中的胆固醇含量防止动脉硬化。虾具有通乳的功效，且可以为孕妇和小儿提供钙，磷，有益于身体的健康。具有止咳化痰，清热润肺，补钙健脑的功效。对于高脂血症，贫血，高血脂，动脉硬化，血管硬化，老年痴呆，骨质疏松等症有预防的作用。腐竹所含的磷脂，皂酐有降低血液中的胆固醇，清除血管壁上脂质沉淀的作用。而含有的谷氨酸，具有良好的健脑作用。另外，腐竹还有增进骨骼发育，保护心脏，抗疲劳，抗炎和抗溃疡的作用。,林乡,18,2,粤菜
http://pic.ecook.cn/web/264596808.jpg!s4,青椒炒腐竹,这是一道夏天最理想的快手菜啦，不仅营养均衡，还鲜美可口。,HC半糖,183,17,粤菜
http://pic.ecook.cn/web/264182941.jpg!s4,羊肚菌蒸豆腐,"羊肚菌是开春第一鲜，用它做的菜色味道鲜美无比，肉质脆嫩，香甜可口。

羊肚菌是著名的野生食用菌，此菌出时，正是乍暖还寒天气，忽冷忽热时节，流感多发，雾霾阵阵。脾胃一弱，就很容易生病。

大自然就是这样神奇，
身体需要什么就长出来什么，
羊肚菌就是此时护卫生长力的菌子。

羊肚菌味甘，性平。
用以食疗：具有益肠胃、助消化、化痰理气的功效。
抗疫特殊时期，来吃点羊肚菌增强自己免疫力，好让病毒远离我们。",爱吃饺子的兔兔,43,13,粤菜
